study_id,dataset_title,doi,url,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
38506,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",10.3886/ICPSR38506,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506,4747,,18.0,1127.0,3620.0,839.0,203.0,success,,2026-05-13 10:51:59
38528,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",10.3886/ICPSR38528,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view,20540,,134.0,5639.0,14901.0,874.0,146.0,success,,2026-05-13 10:52:02
38559,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",10.3886/ICPSR38559,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559,945,,4.0,283.0,662.0,136.0,46.0,success,,2026-05-13 10:52:03
38567,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",10.3886/ICPSR38567,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567,1511,,7.0,464.0,1047.0,201.0,62.0,success,,2026-05-13 10:52:05
38569,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",10.3886/ICPSR38569,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569,2444,,2.0,945.0,1499.0,135.0,51.0,success,,2026-05-13 10:52:06
38579,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",10.3886/ICPSR38579,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579,1791,,1.0,536.0,1255.0,90.0,34.0,success,,2026-05-13 10:52:08
38580,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38580,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580,3923,,8.0,1321.0,2602.0,157.0,52.0,success,,2026-05-13 10:52:09
38584,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",10.3886/ICPSR38584,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584,1856,,11.0,565.0,1291.0,230.0,59.0,success,,2026-05-13 10:52:10
38585,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38585,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585,1290,,5.0,421.0,869.0,97.0,39.0,success,,2026-05-13 10:52:12
38586,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",10.3886/ICPSR38586,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586,5219,,37.0,1699.0,3520.0,369.0,102.0,success,,2026-05-13 10:52:13
38597,"Polluting Sites by Census Tract and ZIP Code Tabulation Area, United States, 1987-2021",10.3886/ICPSR38597,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38597,3774,,8.0,1423.0,2351.0,196.0,70.0,success,,2026-05-13 10:52:15
38598,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985-2023",10.3886/ICPSR38598,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38598,2969,,26.0,955.0,2014.0,235.0,63.0,success,,2026-05-13 10:52:16
38605,"Public Transit Stops by Census Tract and ZIP Code Tabulation Area, United States, 2016-2018 and 2024",10.3886/ICPSR38605,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38605,2535,,20.0,636.0,1899.0,204.0,67.0,success,,2026-05-13 10:52:18
38606,"Urbanicity by Census Tract, United States, 2010",10.3886/ICPSR38606,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38606,728,,9.0,241.0,487.0,157.0,60.0,success,,2026-05-13 10:52:19
38649,"Crimes by County, United States, 2002-2014",10.3886/ICPSR38649,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38649,2209,,5.0,904.0,1305.0,224.0,74.0,success,,2026-05-13 10:52:21
38858,"Weather by County, United States, 2003-2016",10.3886/ICPSR38858,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38858,23189,,3.0,10559.0,12630.0,100.0,39.0,success,,2026-05-13 10:52:22
38974,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2016-2020",10.3886/ICPSR38974,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38974,345,,0.0,116.0,229.0,60.0,22.0,success,,2026-05-13 10:52:24
39093,"Home Mortgage Disclosure Act Longitudinal Dataset by Census Tract, United States, 1981-2021",10.3886/ICPSR39093,https://www.icpsr.umich.edu/sites/icpsr/view/studies/39093,25045,,6.0,7174.0,17871.0,272.0,75.0,success,,2026-05-13 10:52:25
39378,"Hospitals by Census Tract and ZIP Code Tabulation Area, United States, 2023",10.3886/ICPSR39378,https://www.icpsr.umich.edu/sites/icpsr/view/studies/39378,809,,0.0,213.0,596.0,70.0,29.0,success,,2026-05-13 10:52:27
110663,"Land Cover by Census Tract, United States, 2001-2016",10.3886/E110663,https://www.openicpsr.org/openicpsr/project/110663/version/V1/view,385,3568.0,,,,,,success,,2026-05-13 10:52:28
120088,Code for merging ZCTA level datasets with the UDS Mapper ZIP code to ZCTA crosswalk,10.3886/E120088,https://www.icpsr.umich.edu/sites/icpsr/view/studies/120088,208,3811.0,,,,,,success,,2026-05-13 10:52:30
127681," Education and Training Services by Census Tract, United States, 2003-2017",10.3886/E127681,https://www.icpsr.umich.edu/sites/icpsr/view/studies/127681,159,1070.0,,,,,,success,,2026-05-13 10:52:31
127682,"Education and Training Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E127682,https://www.icpsr.umich.edu/sites/icpsr/view/studies/127682,27,446.0,,,,,,success,,2026-05-13 10:52:32
141121,"Historic Redlining Indicator for 2000, 2010, and 2020 US Census Tracts",10.3886/E141121,https://www.icpsr.umich.edu/sites/icpsr/view/studies/141121,2829,26809.0,,,,,,success,,2026-05-13 10:52:34
190141,Special Data Release for Neighborhood Context and Alzheimer's Disease and Related Dementias,10.3886/E190141,https://www.icpsr.umich.edu/sites/icpsr/view/studies/190141,0,708.0,,,,,,success,,2026-05-13 10:52:35
200038,"Libraries by Census Tract and ZIP Code Tabulation Area, United States, 1992-2021",10.3886/ICPSR200038,https://www.icpsr.umich.edu/sites/nanda/view/studies/200038/versions/V5.0,17,,,17.0,0.0,,,success,,2026-05-13 10:52:36
207966,"Civic, Social, and Religious Organizations by Census Tract and ZCTA, United States, 1990-2022",10.3886/E207966,https://www.icpsr.umich.edu/sites/icpsr/view/studies/207966,284,1180.0,,,,,,success,,2026-05-13 10:52:37
208207,"Social Services by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208207,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208207,282,1619.0,,,,,,success,,2026-05-13 10:52:39
208366,"Post Offices and Banks by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208366,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208366,80,407.0,,,,,,success,,2026-05-13 10:52:40
208682,"Retail Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208682,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208682,186,1177.0,,,,,,success,,2026-05-13 10:52:42
208684,"Law Enforcement by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208684,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208684,114,770.0,,,,,,success,,2026-05-13 10:52:43
208751,"Eating and Drinking Places by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208751,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208751,320,1161.0,,,,,,success,,2026-05-13 10:52:44
208906,"Personal Care Services and Laundry by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208906,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208906,97,369.0,,,,,,success,,2026-05-13 10:52:46
208907,"Liquor, Tobacco, Cannabis, Vape, and Convenience Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E208907,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208907,231,1862.0,,,,,,success,,2026-05-13 10:52:47
209050,"Healthcare Services by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209050,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209050,392,1940.0,,,,,,success,,2026-05-13 10:52:49
209163,"Arts, Entertainment, and Leisure Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209163,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209163,208,1088.0,,,,,,success,,2026-05-13 10:52:50
209164,"Recreational Establishments by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209164,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209164,201,856.0,,,,,,success,,2026-05-13 10:52:52
209313,"Grocery and Food Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209313,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209313,391,2035.0,,,,,,success,,2026-05-13 10:52:53
209324,"Dollar Stores by Census Tract and ZCTA, United States, 1990-2022",10.3886/E209324,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209324,52,285.0,,,,,,success,,2026-05-13 10:52:55
210581,"Standardized Area Deprivation Index (ADI) by Census Block Group, United States, 2015, 2020 and 2022",10.3886/E210581,https://www.icpsr.umich.edu/sites/icpsr/view/studies/210581,129,7366.0,,,,,,success,,2026-05-13 10:52:56
220701,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985- 2023",10.3886/E220701,https://www.icpsr.umich.edu/sites/icpsr/view/studies/220701,43,385.0,,,,,,success,,2026-05-13 10:52:57
222263,"Ophthalmologists by Census Tract and ZCTA, United States, 1990-2021",10.3886/E222263,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222263,14,228.0,,,,,,success,,2026-05-13 10:52:59
222901,"Hospitals by Census Tract and ZCTA, 2023",10.3886/E222901,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222901,41,351.0,,,,,,success,,2026-05-13 10:53:00
230941,"PRISM Climate of Census Tracts, United States, 1981-2024",10.3886/E230941,https://www.icpsr.umich.edu/sites/icpsr/view/studies/230941,143,1323.0,,,,,,success,,2026-05-13 10:53:01
237305,"National Neighborhood Data Archive: Air Conditioning Probability by Census Tract, United States, 2016",10.3886/E237305,https://www.icpsr.umich.edu/sites/icpsr/view/studies/237305,30,282.0,,,,,,success,,2026-05-13 10:53:02
301419,"Essential Businesses in Census Tracts or ZIP Code Tabulation Areas, United States, 2020",10.3886/E301419,https://www.icpsr.umich.edu/sites/icpsr/view/studies/301419,3,,,3.0,0.0,,,success,,2026-05-13 10:53:03
302178,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2018-2022",10.3886/E302178,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302178,1,,,1.0,0.0,,,success,,2026-05-13 10:53:05
302343,"Training and Vocation Schools by Census Tract and ZCTA, United States, 1990-2022",10.3886/ICPSR302343,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302343,7,,,7.0,0.0,,,success,,2026-05-13 10:53:06
302937,"Broadband Availability by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2025. ",10.3886/ICPSR302937,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302937,3,,,3.0,0.0,,,success,,2026-05-13 10:53:07
110641,"Street Connectivity by Census Tract, United States, 2010",10.3886/E110641,https://www.openicpsr.org/openicpsr/project/110641/version/V1/view,95,1002.0,,,,,,success,,2026-05-13 10:53:08
111107,"Neighborhood Socioeconomic and Demographic Characteristics of Census Tracts, United States, 2000-2010",10.3886/E111107,https://www.openicpsr.org/openicpsr/project/111107/version/V1/view,324,3969.0,,,,,,success,,2026-05-13 10:53:09
111109,"Public Transit Stops by Census Tract, United States, 2016-2018",10.3886/E111109,https://www.openicpsr.org/openicpsr/project/111109/version/V1/view,221,2435.0,,,,,,success,,2026-05-13 10:53:11
115006,"Crimes by County, United States, 2002-2014",10.3886/E115006,https://www.openicpsr.org/openicpsr/project/115006/version/V1/view,289,3130.0,,,,,,success,,2026-05-13 10:53:12
115323,"Fast-Food Restaurants by Census Tract, United States, 2006-2015",10.3886/E115323,https://www.openicpsr.org/openicpsr/project/115323/version/V1/view,9,2400.0,,,,,,success,,2026-05-13 10:53:14
115404,"Eating and Drinking Places by Census Tract, United States, 2003-2017",10.3886/E115404,https://www.openicpsr.org/openicpsr/project/115404/version/V1/view,340,2585.0,,,,,,success,,2026-05-13 10:53:15
115407,"Religious Organizations by Census Tract, United States, 2006-2015",10.3886/E115407,https://www.openicpsr.org/openicpsr/project/115407/version/V1/view,4,372.0,,,,,,success,,2026-05-13 10:53:16
115408,"Civic and Social Organizations by Census Tract, United States, 2006-2015",10.3886/E115408,https://www.openicpsr.org/openicpsr/project/115408/version/V1/view,9,549.0,,,,,,success,,2026-05-13 10:53:18
115543," Arts, Entertainment, and Recreation Organizations by Census Tract, United States, 2003-2017",10.3886/E115543,https://www.openicpsr.org/openicpsr/project/115543/version/V1/view,301,2383.0,,,,,,success,,2026-05-13 10:53:19
115967," Religious, Civic, and Social Organizations by Census Tract, United States, 2003-2017",10.3886/E115967,https://www.openicpsr.org/openicpsr/project/115967/version/V1/view,267,2203.0,,,,,,success,,2026-05-13 10:53:21
115972," Retail Establishments by Census Tract, United States, 2003-2017",10.3886/E115972,https://www.openicpsr.org/openicpsr/project/115972/version/V1/view,205,1926.0,,,,,,success,,2026-05-13 10:53:22
115973," Law Enforcement Organizations by Census Tract, United States, 2003-2017",10.3886/E115973,https://www.openicpsr.org/openicpsr/project/115973/version/V1/view,143,1517.0,,,,,,success,,2026-05-13 10:53:23
115981," Personal Care Services and Laundromats by Census Tract, United States, 2003-2017",10.3886/E115981,https://www.openicpsr.org/openicpsr/project/115981/version/V1/view,137,1117.0,,,,,,success,,2026-05-13 10:53:25
117163,"Social Services by Census Tract, United States, 2003-2017",10.3886/E117163,https://www.openicpsr.org/openicpsr/project/117163/version/V1/view,316,2306.0,,,,,,success,,2026-05-13 10:53:26
117866,"Broadband Internet Availability, Speed, and Adoption by Census Tract, United States, 2014-2020",10.3886/E117866,https://www.openicpsr.org/openicpsr/project/117866/version/V1/view,228,2430.0,,,,,,success,,2026-05-13 10:53:27
117921,"Parks by Census Tract, United States, 2018",10.3886/E117921,https://www.openicpsr.org/openicpsr/project/117921/version/V1/view,403,3725.0,,,,,,success,,2026-05-13 10:53:29
119451," Socioeconomic Status and Demographic Characteristics of Census Tracts, United States, 2008-2017",10.3886/E119451,https://www.openicpsr.org/openicpsr/project/119451/version/V1/view,529,4614.0,,,,,,success,,2026-05-13 10:53:30
119803,"Parks by ZIP Code Tabulation Area, United States, 2018",10.3886/E119803,https://www.openicpsr.org/openicpsr/project/119803/version/V1/view,163,2120.0,,,,,,success,,2026-05-13 10:53:32
120462,"Socioeconomic Status and Demographic Characteristics of ZIP Code Tabulation Areas, United States, 2008-2017",10.3886/E120462,https://www.openicpsr.org/openicpsr/project/120462/version/V1/view,533,17382.0,,,,,,success,,2026-05-13 10:53:33
120463,"Health Care Services by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E120463,https://www.openicpsr.org/openicpsr/project/120463/version/V1/view,201,1979.0,,,,,,success,,2026-05-13 10:53:34
120907,"Health Care Services by Census Tract, United States, 2003-2017",10.3886/E120907,https://www.openicpsr.org/openicpsr/project/120907/version/V1/view,484,4029.0,,,,,,success,,2026-05-13 10:53:36
121741,"Eating and Drinking Places by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E121741,https://www.openicpsr.org/openicpsr/project/121741/version/V1/view,88,1015.0,,,,,,success,,2026-05-13 10:53:37
123001,"Grocery Stores by Census Tract, United States, 2003-2017",10.3886/E123001,https://www.openicpsr.org/openicpsr/project/123001/version/V1/view,371,2534.0,,,,,,success,,2026-05-13 10:53:39
123042,"Grocery Stores by ZIP Code Tabulation Area, United States, 2003-2017",10.3886/E123042,https://www.openicpsr.org/openicpsr/project/123042/version/V1/view,134,2077.0,,,,,,success,,2026-05-13 10:53:40
