study_id,dataset_title,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
237305,"National Neighborhood Data Archive: Air Conditioning Probability by Census Tract, United States, 2016",30,261.0,,0,0,,0,success,,2026-04-29 16:05:52
301419,"Essential Businesses in Census Tracts or ZIP Code Tabulation Areas, United States, 2020",0,0.0,,0,0,,0,success,,2026-04-29 16:05:54
302178,"Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2018-2022",0,0.0,,0,0,,0,success,,2026-04-29 16:05:55
302343,"Training and Vocation Schools by Census Tract and ZCTA, United States, 1990-2022",0,0.0,,0,0,,0,success,,2026-04-29 16:05:56
302937,"Broadband Availability by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2025. ",0,0.0,,0,0,,0,success,,2026-04-29 16:05:57
110641,"Street Connectivity by Census Tract, United States, 2010",95,988.0,,0,0,,0,success,,2026-04-29 16:05:58
111107,"Neighborhood Socioeconomic and Demographic Characteristics of Census Tracts, United States, 2000-2010",324,3928.0,,0,0,,0,success,,2026-04-29 16:05:59
111109,"Public Transit Stops by Census Tract, United States, 2016-2018",221,2408.0,,0,0,,0,success,,2026-04-29 16:06:01
115006,"Crimes by County, United States, 2002-2014",289,3044.0,,0,0,,0,success,,2026-04-29 16:06:02
115323,"Fast-Food Restaurants by Census Tract, United States, 2006-2015",9,2351.0,,0,0,,0,success,,2026-04-29 16:06:03
115404,"Eating and Drinking Places by Census Tract, United States, 2003-2017",340,2534.0,,0,0,,0,success,,2026-04-29 16:06:05
115407,"Religious Organizations by Census Tract, United States, 2006-2015",4,363.0,,0,0,,0,success,,2026-04-29 16:06:06
115408,"Civic and Social Organizations by Census Tract, United States, 2006-2015",9,543.0,,0,0,,0,success,,2026-04-29 16:06:08
115543," Arts, Entertainment, and Recreation Organizations by Census Tract, United States, 2003-2017",299,2324.0,,0,0,,0,success,,2026-04-29 16:06:09
115967," Religious, Civic, and Social Organizations by Census Tract, United States, 2003-2017",267,2160.0,,0,0,,0,success,,2026-04-29 16:06:10
115972," Retail Establishments by Census Tract, United States, 2003-2017",205,1893.0,,0,0,,0,success,,2026-04-29 16:06:12
115973," Law Enforcement Organizations by Census Tract, United States, 2003-2017",143,1475.0,,0,0,,0,success,,2026-04-29 16:06:13
115981," Personal Care Services and Laundromats by Census Tract, United States, 2003-2017",137,1090.0,,0,0,,0,success,,2026-04-29 16:06:15
117163,"Social Services by Census Tract, United States, 2003-2017",315,2275.0,,0,0,,0,success,,2026-04-29 16:06:16
117866,"Broadband Internet Availability, Speed, and Adoption by Census Tract, United States, 2014-2020",228,2399.0,,0,0,,0,success,,2026-04-29 16:06:17
117921,"Parks by Census Tract, United States, 2018",403,3679.0,,0,0,,0,success,,2026-04-29 16:06:19
119451," Socioeconomic Status and Demographic Characteristics of Census Tracts, United States, 2008-2017",529,4565.0,,0,0,,0,success,,2026-04-29 16:06:20
119803,"Parks by ZIP Code Tabulation Area, United States, 2018",163,2072.0,,0,0,,0,success,,2026-04-29 16:06:21
120462,"Socioeconomic Status and Demographic Characteristics of ZIP Code Tabulation Areas, United States, 2008-2017",533,17219.0,,0,0,,0,success,,2026-04-29 16:06:23
120463,"Health Care Services by ZIP Code Tabulation Area, United States, 2003-2017",201,1920.0,,0,0,,0,success,,2026-04-29 16:06:24
120907,"Health Care Services by Census Tract, United States, 2003-2017",484,3986.0,,0,0,,0,success,,2026-04-29 16:06:25
121741,"Eating and Drinking Places by ZIP Code Tabulation Area, United States, 2003-2017",88,989.0,,0,0,,0,success,,2026-04-29 16:06:27
123001,"Grocery Stores by Census Tract, United States, 2003-2017",371,2510.0,,0,0,,0,success,,2026-04-29 16:06:28
123042,"Grocery Stores by ZIP Code Tabulation Area, United States, 2003-2017",134,2017.0,,0,0,,0,success,,2026-04-29 16:06:30
123541,"Liquor, Tobacco, and Convenience Stores by Census Tract, United States, 2003-2017",188,1373.0,,0,0,,0,success,,2026-04-29 16:06:31
123542,"Liquor, Tobacco, and Convenience Stores by ZIP Code Tabulation Area, United States, 2003-2017",51,554.0,,0,0,,0,success,,2026-04-29 16:06:32
123801,"Dollar Stores by ZIP Code Tabulation Area, United States, 2003-2017",48,650.0,,0,0,,0,success,,2026-04-29 16:06:34
123802,"Dollar Stores by Census Tract, United States, 2003-2017",126,941.0,,0,0,,0,success,,2026-04-29 16:06:35
124721,"Religious, Civic, and Social Organizations by ZIP Code Tabulation Area, United States, 2003-2017",115,1664.0,,0,0,,0,success,,2026-04-29 16:06:37
124801,"Law Enforcement Organizations by ZIP Code Tabulation Area, United States, 2003-2017",41,448.0,,0,0,,0,success,,2026-04-29 16:06:38
125223,"Arts, Entertainment, and Recreation Organizations by ZIP Code Tabulation Area, United States, 2003-2017",104,778.0,,0,0,,0,success,,2026-04-29 16:06:40
125781,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2018",303,4374.0,,0,0,,0,success,,2026-04-29 16:06:41
126082,"Social Services by ZIP Code Tabulation Area, United States, 2003-2017",85,733.0,,0,0,,0,success,,2026-04-29 16:06:43
127042,"Retail Establishments by ZIP Code Tabulation Area, United States, 2003-2017",68,971.0,,0,0,,0,success,,2026-04-29 16:06:44
127262,"Personal Care Services and Laundromats by ZIP Code Tabulation Area, United States, 2003-2017",34,409.0,,0,0,,0,success,,2026-04-29 16:06:46
128281," Post Offices and Banks by Census Tract, United States, 2003-2017",115,877.0,,0,0,,0,success,,2026-04-29 16:06:47
128282,"Post Offices and Banks by ZIP Code Tabulation Area, United States, 2003-2017",32,388.0,,0,0,,0,success,,2026-04-29 16:06:48
128841,"Broadband Internet Availability and Speed by ZIP Code Tabulation Area, United States, 2014-2020",273,3679.0,,0,0,,0,success,,2026-04-29 16:06:50
128862,"Land Cover by ZIP Code Tabulation Area, United States, 2001-2016",109,1757.0,,0,0,,0,success,,2026-04-29 16:06:51
130282,"Public Transit Stops by ZIP Code Tabulation Area, United States, 2016-2018",110,1707.0,,0,0,,0,success,,2026-04-29 16:06:52
130542,"Urbanicity by Census Tract, United States, 2010",102,1444.0,,0,0,,0,success,,2026-04-29 16:06:54
134561,"Street Connectivity by ZIP Code Tabulation Area, United States, 2010",31,962.0,,0,0,,0,success,,2026-04-29 16:06:55
155022,"Internet Access by Census Tract, United States, 2015-2019",62,425.0,,0,0,,0,success,,2026-04-29 16:06:56
155025,"Internet Access by ZIP Code Tabulation Area, United States, 2015-2019",44,412.0,,0,0,,0,success,,2026-04-29 16:06:57
156024,"School Counts by Census Tract, United States, 2000-2018",74,458.0,,0,0,,0,success,,2026-04-29 16:06:59
156041,"School Counts by ZIP Code Tabulation Area, United States, 2000-2018",36,301.0,,0,0,,0,success,,2026-04-29 16:07:00
156042,"School Counts and Characteristics by School District, United States, 2000-2018",61,569.0,,0,0,,0,success,,2026-04-29 16:07:01
156043,"Neighborhood-School Gap by Census Tract, United States, 2009-2010 and 2015-2016",63,457.0,,0,0,,0,success,,2026-04-29 16:07:04
156045,"Neighborhood-School Gap by ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",24,508.0,,0,0,,0,success,,2026-04-29 16:07:05
159902,"Primary and Secondary Roads by Census Tract, United States, 2010",56,713.0,,0,0,,0,success,,2026-04-29 16:07:06
159941,"Primary and Secondary Roads by ZIP Code Tabulation Area, United States, 2010",18,872.0,,0,0,,0,success,,2026-04-29 16:07:08
159961,"Polluting Sites by Census Tract, United States, 2000-2018",125,1015.0,,0,0,,0,success,,2026-04-29 16:07:09
159981,"Polluting Sites by ZIP Code Tabulation Area, United States, 2000-2018",58,517.0,,0,0,,0,success,,2026-04-29 16:07:10
160261,"Traffic Volume by ZIP Code Tabulation Area, United States, 1963-2019",186,2797.0,,0,0,,0,success,,2026-04-29 16:07:11
160262,"Traffic Volume by Census Tract, United States, 1963-2019",197,1976.0,,0,0,,0,success,,2026-04-29 16:07:13
