study_id,year,month,data_downloads,documentation_downloads,total_downloads,timestamp
38559,2023,11,5,11,16,2026-05-13 10:54:26
38559,2023,12,3,11,14,2026-05-13 10:54:26
38559,2024,1,11,23,34,2026-05-13 10:54:26
38559,2024,2,13,27,40,2026-05-13 10:54:26
38559,2024,3,17,41,58,2026-05-13 10:54:26
38559,2024,4,11,22,33,2026-05-13 10:54:26
38559,2024,5,24,48,72,2026-05-13 10:54:26
38559,2024,6,15,35,50,2026-05-13 10:54:26
38559,2024,7,2,4,6,2026-05-13 10:54:26
38559,2024,8,2,4,6,2026-05-13 10:54:26
38559,2024,9,2,6,8,2026-05-13 10:54:26
38559,2024,10,6,16,22,2026-05-13 10:54:26
38559,2024,11,11,26,37,2026-05-13 10:54:26
38559,2024,12,2,4,6,2026-05-13 10:54:26
38559,2025,1,9,19,28,2026-05-13 10:54:26
38559,2025,2,29,63,92,2026-05-13 10:54:26
38559,2025,3,7,18,25,2026-05-13 10:54:26
38559,2025,4,8,20,28,2026-05-13 10:54:26
38559,2025,5,3,6,9,2026-05-13 10:54:26
38559,2025,6,4,8,12,2026-05-13 10:54:26
38559,2025,7,4,8,12,2026-05-13 10:54:26
38559,2025,9,5,11,16,2026-05-13 10:54:26
38559,2025,10,5,10,15,2026-05-13 10:54:26
38559,2025,11,10,20,30,2026-05-13 10:54:26
38559,2026,1,3,7,10,2026-05-13 10:54:26
38559,2026,2,4,9,13,2026-05-13 10:54:26
38559,2026,3,4,8,12,2026-05-13 10:54:26
38559,2026,5,2,4,6,2026-05-13 10:54:26
38567,2022,11,2,5,7,2026-05-13 10:54:26
38567,2022,12,4,8,12,2026-05-13 10:54:26
38567,2023,1,17,49,66,2026-05-13 10:54:26
38567,2023,2,10,20,30,2026-05-13 10:54:26
38567,2023,3,6,12,18,2026-05-13 10:54:26
38567,2023,4,3,11,14,2026-05-13 10:54:26
38567,2023,5,4,8,12,2026-05-13 10:54:26
38567,2023,6,11,22,33,2026-05-13 10:54:26
38567,2023,7,14,31,45,2026-05-13 10:54:26
38567,2023,8,1,14,15,2026-05-13 10:54:26
38567,2023,9,6,20,26,2026-05-13 10:54:26
38567,2023,10,13,27,40,2026-05-13 10:54:26
38567,2023,11,2,4,6,2026-05-13 10:54:26
38567,2023,12,7,13,20,2026-05-13 10:54:26
38567,2024,1,12,26,38,2026-05-13 10:54:26
38567,2024,2,28,58,86,2026-05-13 10:54:26
38567,2024,3,20,45,65,2026-05-13 10:54:26
38567,2024,4,9,22,31,2026-05-13 10:54:26
38567,2024,5,39,80,119,2026-05-13 10:54:26
38567,2024,6,58,131,189,2026-05-13 10:54:26
38567,2024,7,6,13,19,2026-05-13 10:54:26
38567,2024,8,15,34,49,2026-05-13 10:54:26
38567,2024,9,9,19,28,2026-05-13 10:54:26
38567,2024,11,8,20,28,2026-05-13 10:54:26
38567,2024,12,6,12,18,2026-05-13 10:54:26
38567,2025,1,11,28,39,2026-05-13 10:54:26
38567,2025,2,16,32,48,2026-05-13 10:54:26
38567,2025,3,15,34,49,2026-05-13 10:54:26
38567,2025,4,11,24,35,2026-05-13 10:54:26
38567,2025,5,9,18,27,2026-05-13 10:54:26
38567,2025,6,10,22,32,2026-05-13 10:54:26
38567,2025,7,4,8,12,2026-05-13 10:54:26
38567,2025,8,6,12,18,2026-05-13 10:54:26
38567,2025,9,1,7,8,2026-05-13 10:54:26
38567,2025,10,26,53,79,2026-05-13 10:54:26
38567,2025,11,12,29,41,2026-05-13 10:54:26
38567,2025,12,4,8,12,2026-05-13 10:54:26
38567,2026,1,8,18,26,2026-05-13 10:54:26
38567,2026,2,5,14,19,2026-05-13 10:54:26
38567,2026,3,8,20,28,2026-05-13 10:54:26
38567,2026,4,6,12,18,2026-05-13 10:54:26
38567,2026,5,2,4,6,2026-05-13 10:54:26
38569,2022,10,12,30,42,2026-05-13 10:54:26
38569,2022,11,6,15,21,2026-05-13 10:54:26
38569,2022,12,3,7,10,2026-05-13 10:54:26
38569,2023,1,4,9,13,2026-05-13 10:54:26
38569,2023,2,11,23,34,2026-05-13 10:54:26
38569,2023,3,27,63,90,2026-05-13 10:54:26
38569,2023,4,18,50,68,2026-05-13 10:54:26
38569,2023,5,7,23,30,2026-05-13 10:54:26
38569,2023,7,3,6,9,2026-05-13 10:54:26
38569,2023,8,5,12,17,2026-05-13 10:54:26
38569,2023,9,4,8,12,2026-05-13 10:54:26
38569,2023,10,15,32,47,2026-05-13 10:54:26
38569,2023,11,13,32,45,2026-05-13 10:54:26
38569,2023,12,511,542,1053,2026-05-13 10:54:26
38569,2024,1,66,85,151,2026-05-13 10:54:26
38569,2024,2,18,36,54,2026-05-13 10:54:26
38569,2024,3,17,35,52,2026-05-13 10:54:26
38569,2024,4,9,31,40,2026-05-13 10:54:26
38569,2024,5,36,72,108,2026-05-13 10:54:26
38569,2024,6,7,18,25,2026-05-13 10:54:26
38569,2024,7,7,16,23,2026-05-13 10:54:26
38569,2024,8,3,6,9,2026-05-13 10:54:26
38569,2024,9,1,3,4,2026-05-13 10:54:26
38569,2024,10,0,12,12,2026-05-13 10:54:26
38569,2024,11,7,27,34,2026-05-13 10:54:26
38569,2024,12,3,6,9,2026-05-13 10:54:26
38569,2025,1,13,32,45,2026-05-13 10:54:26
38569,2025,2,31,68,99,2026-05-13 10:54:26
38569,2025,3,9,27,36,2026-05-13 10:54:26
38569,2025,4,23,53,76,2026-05-13 10:54:26
38569,2025,5,16,32,48,2026-05-13 10:54:26
38569,2025,6,4,8,12,2026-05-13 10:54:26
38569,2025,7,1,2,3,2026-05-13 10:54:26
38569,2025,9,6,12,18,2026-05-13 10:54:26
38569,2025,10,2,8,10,2026-05-13 10:54:26
38569,2025,11,1,3,4,2026-05-13 10:54:26
38569,2025,12,4,8,12,2026-05-13 10:54:26
38569,2026,1,4,8,12,2026-05-13 10:54:26
38569,2026,2,3,7,10,2026-05-13 10:54:26
38569,2026,3,9,20,29,2026-05-13 10:54:26
38569,2026,4,3,6,9,2026-05-13 10:54:26
38569,2026,5,3,6,9,2026-05-13 10:54:26
38579,2022,10,15,54,69,2026-05-13 10:54:26
38579,2022,11,10,32,42,2026-05-13 10:54:26
38579,2023,1,12,24,36,2026-05-13 10:54:26
38579,2023,2,22,56,78,2026-05-13 10:54:26
38579,2023,3,19,40,59,2026-05-13 10:54:26
38579,2023,4,19,72,91,2026-05-13 10:54:26
38579,2023,5,0,1,1,2026-05-13 10:54:26
38579,2023,8,2,5,7,2026-05-13 10:54:26
38579,2023,9,8,16,24,2026-05-13 10:54:26
38579,2023,10,6,12,18,2026-05-13 10:54:26
38579,2023,12,3,6,9,2026-05-13 10:54:26
38579,2024,1,12,24,36,2026-05-13 10:54:26
38579,2024,2,12,24,36,2026-05-13 10:54:26
38579,2024,3,48,122,170,2026-05-13 10:54:26
38579,2024,4,40,80,120,2026-05-13 10:54:26
38579,2024,5,48,96,144,2026-05-13 10:54:26
38579,2024,6,30,65,95,2026-05-13 10:54:26
38579,2024,7,14,32,46,2026-05-13 10:54:26
38579,2024,9,0,1,1,2026-05-13 10:54:26
38579,2024,10,0,13,13,2026-05-13 10:54:26
38579,2024,11,24,60,84,2026-05-13 10:54:26
38579,2024,12,12,24,36,2026-05-13 10:54:26
38579,2025,1,12,49,61,2026-05-13 10:54:26
38579,2025,2,36,72,108,2026-05-13 10:54:26
38579,2025,3,19,39,58,2026-05-13 10:54:26
38579,2025,4,40,88,128,2026-05-13 10:54:26
38579,2025,6,24,48,72,2026-05-13 10:54:26
38579,2025,10,6,12,18,2026-05-13 10:54:26
38579,2025,11,6,13,19,2026-05-13 10:54:26
38579,2025,12,6,12,18,2026-05-13 10:54:26
38579,2026,1,7,14,21,2026-05-13 10:54:26
38579,2026,2,12,25,37,2026-05-13 10:54:26
