study_id,dataset_title,doi,url,total_downloads,total_views,publications,data_downloads,documentation_downloads,unique_users,num_institutions,status,error_message,timestamp
38506,"Voter Registration, Turnout, and Partisanship by County, United States, 2004-2022",10.3886/ICPSR38506.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38506,4696,,18.0,1115.0,3581.0,826.0,200.0,success,,2026-04-30 11:50:22
38528,"Socioeconomic Status and Demographic Characteristics of Census Tracts and ZIP Code Tabulation Areas, United States, 1990-2022",10.3886/ICPSR38528.v6,https://www.openicpsr.org/openicpsr/project/38528/version/V6/view,20278,,134.0,5572.0,14706.0,862.0,145.0,success,,2026-04-30 11:50:24
38559,"Internet Access by Census Tract and ZIP Code Tabulation Area, United States, 2015-2019",10.3886/ICPSR38559.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38559,939,,4.0,281.0,658.0,135.0,46.0,success,,2026-04-30 11:50:26
38567,"Broadband Internet Availability, Speed, and Adoption by Census Tract and ZIP Code Tabulation Area, United States, 2014-2020",10.3886/ICPSR38567.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38567,1505,,7.0,462.0,1043.0,200.0,62.0,success,,2026-04-30 11:50:27
38569,"School District Characteristics and School Counts by Census Tract, ZIP Code Tabulation Area, and School District, 2000-2018",10.3886/ICPSR38569.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38569,2435,,2.0,942.0,1493.0,134.0,51.0,success,,2026-04-30 11:50:28
38579,"Neighborhood-School Gap by Census Tract and ZIP Code Tabulation Area, United States, 2009-2010 and 2015-2016",10.3886/ICPSR38579.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38579,1773,,1.0,530.0,1243.0,89.0,34.0,success,,2026-04-30 11:50:30
38580,"Street Connectivity by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38580.v3,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38580,3901,,8.0,1315.0,2586.0,155.0,52.0,success,,2026-04-30 11:50:31
38584,"Traffic Volume by Census Tract and ZIP Code Tabulation Area, United States, 1963-2019",10.3886/ICPSR38584.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38584,1838,,11.0,559.0,1279.0,227.0,58.0,success,,2026-04-30 11:50:32
38585,"Primary and Secondary Roads by Census Tract and ZIP Code Tabulation Area, United States, 2010 and 2020",10.3886/ICPSR38585.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38585,1277,,5.0,417.0,860.0,96.0,39.0,success,,2026-04-30 11:50:34
38586,"Parks by Census Tract and ZIP Code Tabulation Area, United States, 2018 and 2022",10.3886/ICPSR38586.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38586,5179,,36.0,1686.0,3493.0,364.0,102.0,success,,2026-04-30 11:50:35
38597,"Polluting Sites by Census Tract and ZIP Code Tabulation Area, United States, 1987-2021",10.3886/ICPSR38597.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38597,3738,,8.0,1411.0,2327.0,193.0,70.0,success,,2026-04-30 11:50:37
38598,"Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985-2023",10.3886/ICPSR38598.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38598,2905,,26.0,937.0,1968.0,229.0,63.0,success,,2026-04-30 11:50:38
38605,"Public Transit Stops by Census Tract and ZIP Code Tabulation Area, United States, 2016-2018 and 2024",10.3886/ICPSR38605.v2,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38605,2501,,20.0,628.0,1873.0,200.0,67.0,success,,2026-04-30 11:50:40
38606,"Urbanicity by Census Tract, United States, 2010",10.3886/ICPSR38606.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38606,725,,9.0,240.0,485.0,156.0,60.0,success,,2026-04-30 11:50:41
38649,"Crimes by County, United States, 2002-2014",10.3886/ICPSR38649.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38649,2203,,5.0,902.0,1301.0,222.0,74.0,success,,2026-04-30 11:50:43
38858,"Weather by County, United States, 2003-2016",10.3886/ICPSR38858.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/38858,22964,,3.0,10447.0,12517.0,99.0,39.0,success,,2026-04-30 11:50:44
