study_id,archive,deposit_via,status,title,version,version_date,doi,url
208682,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Retail Establishments by Census Tract and ZCTA, United States, 1990-2022",V2.0,4/9/2026,10.3886/E208682V20,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208682
208684,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Law Enforcement by Census Tract and ZCTA, United States, 1990-2022",V2.2,4/7/2026,10.3886/E208684V22,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208684
208751,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Eating and Drinking Places by Census Tract and ZCTA, United States, 1990-2022",V2.0,4/8/2026,10.3886/E208751V20,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208751
208906,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Personal Care Services and Laundry by Census Tract and ZCTA, United States, 1990-2022",V2.3,4/8/2026,10.3886/E208906V23,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208906
208907,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Liquor, Tobacco, Cannabis, Vape, and Convenience Stores by Census Tract and ZCTA, United States, 1990-2022",V2.0,4/9/2026,10.3886/E208907V20,https://www.icpsr.umich.edu/sites/icpsr/view/studies/208907
209050,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Healthcare Services by Census Tract and ZCTA, United States, 1990-2022",V2.1,3/31/2026,10.3886/E209050V21,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209050
209163,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Arts, Entertainment, and Leisure Establishments by Census Tract and ZCTA, United States, 1990-2022",V3.0,4/17/2026,10.3886/E209163V30,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209163
209164,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Recreational Establishments by Census Tract and ZCTA, United States, 1990-2022",V3.0,4/9/2026,10.3886/E209164V30,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209164
209313,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Grocery and Food Stores by Census Tract and ZCTA, United States, 1990-2022",V2.0,4/8/2026,10.3886/E209313V20,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209313
209324,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Dollar Stores by Census Tract and ZCTA, United States, 1990-2022",V2.1,3/31/2026,10.3886/E209324V21,https://www.icpsr.umich.edu/sites/icpsr/view/studies/209324
210581,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Standardized Area Deprivation Index (ADI) by Census Block Group, United States, 2015, 2020 and 2022",V1.9,11/8/2024,10.3886/E210581V19,https://www.icpsr.umich.edu/sites/icpsr/view/studies/210581
220701,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Land Cover by Census Tract and ZIP Code Tabulation Area, United States, 1985- 2023",V1.4,2/25/2025,10.3886/E220701V14,https://www.icpsr.umich.edu/sites/icpsr/view/studies/220701
222263,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Ophthalmologists by Census Tract and ZCTA, United States, 1990-2021",V1.2,3/10/2025,10.3886/E222263V12,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222263
222901,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): Hospitals by Census Tract and ZCTA, 2023",V1.3,3/14/2025,10.3886/E222901V13,https://www.icpsr.umich.edu/sites/icpsr/view/studies/222901
230941,openICPSR,legacy,published,"National Neighborhood Data Archive (NaNDA): PRISM Climate of Census Tracts, United States, 1981-2024",V2.5,8/4/2025,10.3886/E230941V25,https://www.icpsr.umich.edu/sites/icpsr/view/studies/230941
237305,openICPSR,legacy,published,"National Neighborhood Data Archive: Air Conditioning Probability by Census Tract, United States, 2016",V1.1,8/21/2025,10.3886/E237305V11,https://www.icpsr.umich.edu/sites/icpsr/view/studies/237305
301419,openICPSR,RDE,published,"National Neighborhood Data Archive (NaNDA): Essential Businesses in Census Tracts or ZIP Code Tabulation Areas, United States, 2020",V1.1,1/12/2026,10.3886/E301419V11,https://www.icpsr.umich.edu/sites/icpsr/view/studies/301419
302178,openICPSR,RDE,published,"National Neighborhood Data Archive (NaNDA): Essential Workers by Census Tract and ZIP Code Tabulation Area, United States, 2018-2022",V1.0,1/29/2026,10.3886/E302178V10,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302178
302343,openICPSR,RDE,published,"National Neighborhood Data Archive (NaNDA): Training and Vocation Schools by Census Tract and ZCTA, United States, 1990-2022",V1,,10.3886/ICPSR302343.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302343
302937,openICPSR,RDE,published,"National Neighborhood Data Archive (NaNDA): Broadband Availability by Census Tract and ZIP Code Tabulation Area (ZCTA), United States, 2025. ",V1,,10.3886/ICPSR302937.v1,https://www.icpsr.umich.edu/sites/icpsr/view/studies/302937
110641,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Street Connectivity by Census Tract, United States, 2010",V1,,10.3886/E110641V1,https://www.openicpsr.org/openicpsr/project/110641/version/V1/view
111107,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Neighborhood Socioeconomic and Demographic Characteristics of Census Tracts, United States, 2000-2010",V1,,10.3886/E111107V1,https://www.openicpsr.org/openicpsr/project/111107/version/V1/view
111109,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Public Transit Stops by Census Tract, United States, 2016-2018",V1,,10.3886/E111109V1,https://www.openicpsr.org/openicpsr/project/111109/version/V1/view
115006,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Crimes by County, United States, 2002-2014",V1,,10.3886/E115006V1,https://www.openicpsr.org/openicpsr/project/115006/version/V1/view
115323,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Fast-Food Restaurants by Census Tract, United States, 2006-2015",V1,,10.3886/E115323V1,https://www.openicpsr.org/openicpsr/project/115323/version/V1/view
115404,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Eating and Drinking Places by Census Tract, United States, 2003-2017",V1,,10.3886/E115404V1,https://www.openicpsr.org/openicpsr/project/115404/version/V1/view
115407,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Religious Organizations by Census Tract, United States, 2006-2015",V1,,10.3886/E115407V1,https://www.openicpsr.org/openicpsr/project/115407/version/V1/view
115408,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Civic and Social Organizations by Census Tract, United States, 2006-2015",V1,,10.3886/E115408V1,https://www.openicpsr.org/openicpsr/project/115408/version/V1/view
115543,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Arts, Entertainment, and Recreation Organizations by Census Tract, United States, 2003-2017",V1,,10.3886/E115543V1,https://www.openicpsr.org/openicpsr/project/115543/version/V1/view
115967,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Religious, Civic, and Social Organizations by Census Tract, United States, 2003-2017",V1,,10.3886/E115967V1,https://www.openicpsr.org/openicpsr/project/115967/version/V1/view
115972,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Retail Establishments by Census Tract, United States, 2003-2017",V1,,10.3886/E115972V1,https://www.openicpsr.org/openicpsr/project/115972/version/V1/view
115973,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Law Enforcement Organizations by Census Tract, United States, 2003-2017",V1,,10.3886/E115973V1,https://www.openicpsr.org/openicpsr/project/115973/version/V1/view
115981,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Personal Care Services and Laundromats by Census Tract, United States, 2003-2017",V1,,10.3886/E115981V1,https://www.openicpsr.org/openicpsr/project/115981/version/V1/view
117163,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Social Services by Census Tract, United States, 2003-2017",V1,,10.3886/E117163V1,https://www.openicpsr.org/openicpsr/project/117163/version/V1/view
117866,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Broadband Internet Availability, Speed, and Adoption by Census Tract, United States, 2014-2020",V1,,10.3886/E117866V1,https://www.openicpsr.org/openicpsr/project/117866/version/V1/view
117921,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA): Parks by Census Tract, United States, 2018",V1,,10.3886/E117921V1,https://www.openicpsr.org/openicpsr/project/117921/version/V1/view
119451,openICPSR,legacy,unpublished,"National Neighborhood Data Archive (NaNDA):  Socioeconomic Status and Demographic Characteristics of Census Tracts, United States, 2008-2017",V1,,10.3886/E119451V1,https://www.openicpsr.org/openicpsr/project/119451/version/V1/view
